*Code,*Name,*Type,"*Tax Code",Description,Dashboard,"Expense Claims","Enable Payments",Balance
11220,"Less Prov'n for Doubtful Debts","Current Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
11400,"Other Current Assets","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$57,604.23"
11410,"Loan - to Kiosk","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$40,311.04"
11420,"Loan - to Emirates Academy","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$80,395.00"
11430,"Loan - to Raw Espressoba","Current Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
11440,"Loan - to MOKHA 1450","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$57,604.23"
11450,"(Voluntary WithholdingCredits)","Current Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
11460,"(ABN Withholding Credits)","Current Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
11470,"Loan - to Training & Services","Current Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
12000,"Prepayments and advances made","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$1,996,610.36"
12100,"Prepayments Suppliers",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$270,890.35"
12110,"Advances - Green Beans",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,$0.00
12111,"Advances - Equipments",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$77,235.30"
12112,"Advances - Suppliers",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$109,650.00"
12113,"Prepayment - Insurance",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$46,701.58"
12114,"Prepayment - Dues & Subscripti",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$64,334.46"
12115,"Prepayment - ENOC VIP Card",Prepayment,"VPX - VAT on Purchases (5%) (5%)",,No,No,No,"$3,725.01"
12116,"Prepayment - Trade Lic & Spons",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$31,479.30"
12117,"Prepayment - Advertising",Prepayment,"VPX - VAT on Purchases (5%) (5%)",,No,No,No,"$15,000.00"
12118,"Prepayment- Packaging",Prepayment,"VPX - VAT on Purchases (5%) (5%)",,No,No,No,$0.00
12200,"Supplier Deposits",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$230,074.23"
12210,"General Deposits",Prepayment,"N-T - Not Reportable (0%)","""Opening Balance of 1","500 is a Dulsco Deposit""",No,No,"$36,725.00"
12220,"RAK STL Margin Holding Acct",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$53,236.26"
12300,"Advances to employees",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$1,970.00"
12400,"Immigration deposit (labour)",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$109,000.00"
12500,"Loan to shareholders",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"($10,896.57)"
12600,"Prepayments and deposits Occup",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$1,305,611.09"
12610,"Prepayment - Whs No. 10 Rent",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$10,000.00"
12620,"Prepayment - Whs No. 12 Rent",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$25,000.00"
12621,"Prepayment - 10X Rent",Prepayment,"VPX - VAT on Purchases (5%) (5%)",,No,No,No,"$1,231,111.09"
12630,"Prepayment - Big Blue Whs",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,$0.00
12640,"Warehouse Security Deposit",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$46,500.00"
12650,"DEWA Deposit",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,"$28,000.00"
12900,"Prepayment - Kiosk",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,$0.00
12910,"Prepayment - Events",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,$0.00
12920,"Prepayment - Academy",Prepayment,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13000,Inventory,"Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$2,298,046.35"
13100,"Green Bean Coffee",Inventory,"Tax Exempt (0%)",,No,No,No,"$1,298,310.10"
13110,"Green Coffee Beans",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$1,298,310.10"
13115,"Mokha Green Beans",Inventory,"VR5 - Vat on Reverse (5%)  (5%)",,No,No,No,$0.00
13116,"Third Party Greeen Beans",Inventory,"VR5 - Vat on Reverse (5%)  (5%)",,No,No,No,$0.00
13200,"Whole Bean Coffee (Brown)",Inventory,"Tax Exempt (0%)",,No,No,No,"$8,277.78"
13210,"Whole Bean 250g - Asset",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$1,072.36"
13220,"Whole Bean 500g - Asset",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$13,497.35"
13230,"Whole Bean 1kg - Asset",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$11,403.58"
13240,"Whole Beans Espressobar -Asset",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"($17,695.51)"
13310,"Beverages (13310)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$5.94
13311,"Espresso beverages (hot) (13311)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13312,"Espresso beverages (iced) (13312)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13313,"Non coffee beverages (hot) (13313)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13314,"Non coffee beverages (iced) (13314)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13315,"Tea (13315)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13316,"Rocket Fuel Asset",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$5.94
13317,"Ready to Eat (13317)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13318,"Ready to Drink (13318)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13320,"Restaurant consumables",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13400,"Equipment and Serveware (13400)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$1,022,439.30"
13410,"Commercial Equipment (13410)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$467,743.64"
13420,"Retail Equipment (13420)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$292,939.50"
13430,"Serveware & Merchandize (13430)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13440,"Consumables (13440)",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13450,"Packaging Items",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$116,952.79"
13460,"Spare Parts and Services",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$144,803.37"
13470,"Retail Tea & Accesories Asset",Inventory,"N-T - Not Reportable (0%)",,No,No,No,$0.00
13900,"Other Inventories",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"($30,986.77)"
13901,"Landed cost adj - Inventory",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"$1,070.00"
13902,"Inventory Transfer - Suspense",Inventory,"N-T - Not Reportable (0%)",,No,No,No,"($32,056.77)"
14000,"Fixed Assets","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$4,356,518.27"
14100,"Plant & Equipment","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$230,777.32"
14110,"Roasting Equipment","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$473,885.87"
14115,"Accum Dep - Roasting Equip.","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($337,714.96)"
14120,"Coffee Machines & Equipments","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$384,995.44"
14125,"Accum Dep - Coffee Machine & E","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($339,478.17)"
14130,"Small Equipments & Tools","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$242,588.64"
14135,"Accum Dep - Small Equip & Tool","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($229,871.81)"
14140,"Events Equipments & Tools","Fixed Asset","N-T - Not Reportable (0%)","Used for the recording assets of the Events & inside Bertha (event Truck) & tuk-tuk",No,No,No,"$291,365.37"
14145,"Accum Dep - Events Equip&Tool","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($272,864.67)"
14150,"Office Store Computer & Equip","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$102,494.07"
14155,"Accum Dep -  Office/Store Comp","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($95,068.16)"
14160,"Jura Display Items","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$9,010.00"
14165,"Accum Dep - Jura Display Items","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($9,010.00)"
14166,"Plant and Equipment - Acc Dep","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14167,"Training Assets","Fixed Asset","VPX - VAT on Purchases (5%) (5%)",,No,No,No,"$11,395.32"
14168,"Accum Dep - Training Assets","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,($949.62)
14175,"Cold Brew Plant","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14176,"Accum Dep - Cold Brew Plant","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14177,"Kitchen Equipments","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14178,"Accum Dep - Kitchen Equipments","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14179,"Water Treatment Plant","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14180,"Accum Dep-Water Treatment Plan","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14200,"Leasehold improvements (14200)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.01
14210,"Leasehold improvements (14210)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$351,871.17"
14219,"Leasehold improvements - Acc D","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($351,871.16)"
14220,"Espresso Bar Construction Cost","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14229,"Accum Dep-Espresso Bar Constru","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14300,"New WHS (14300)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$3,937,336.32"
14310,"New WHS (14310)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$4,072,462.32"
14319,"Accum Dep - New WHS","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($135,126.00)"
14320,"Espresso Bar","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14329,"Accum Dep - Espresso Bar","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14400,"Furniture and Fixtures (14400)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$13,796.47"
14410,"Furniture and Fixtures (14410)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$70,987.07"
14419,"Accum Dep - Furniture and Fixt","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($57,190.60)"
14500,"Motor Vehicles","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$62,493.67"
14510,"Mini Copper - K 52517 (Kim)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$147,261.00"
14511,"Accum Dep - Mini K52517 (Kim)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($80,771.65)"
14515,"Mini Copper - K 50097 (Matt)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$147,261.00"
14516,"Accum Dep - Mini K50097 (Matt)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($80,771.65)"
14520,"Volkswagen Caddy - P 84172","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$76,228.00"
14521,"Accum Dep - Volks Cad- P84172","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($68,605.34)"
14525,"Volkswagen Caddy - P 84174","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$65,930.00"
14526,"Accum Dep - Volks Cad- P84174","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($10,988.30)"
14530,"Volkswagen Golf - D92197","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$78,981.00"
14531,"Accum Dep - Volks Golf- D92197","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($67,133.85)"
14535,"Nissan Urvan F90822","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$77,924.00"
14536,"Accum Dep -Nissan Urvan F90822","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($77,923.58)"
14540,"Mitsubishi Lancer D95647","Fixed Asset","N-T - Not Reportable (0%)","""Cost in old books is 63","400 for two cars of Mitsubishi and fully depreciated""",No,No,"$31,700.00"
14550,"Mitsubishi Lancer K11615","Fixed Asset","N-T - Not Reportable (0%)","""Cost in old books is 63","400 for two cars of Mitsubishi and fully depreciated""",No,No,"$31,700.00"
14551,"Accum Depn - Lancers","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($63,400.00)"
14560,"Volkswagen Caddy - S 15403","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$63,050.00"
14561,"Accum Dep - Volks Cad - S15403","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($30,026.56)"
14570,"Peugeot - W 43721","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$5,000.00"
14571,"Accum Dep - Peugeot - W 43721","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14580,"Peugeot -W 57413","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$5,000.00"
14581,"Accum Dep - Peugeot - W 57413","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
14600,"Events (14600)","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$112,114.48"
14610,"Bertha Events - D75393","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$275,228.50"
14611,"Accum Depn - Events Bertha","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($163,114.15)"
14620,"Tuk-Tuk Raw Events","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$75,845.50"
14621,"Accum Depn - TukTuk Raw","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($75,845.33)"
14630,"Tuk-Tuk Refinery Events","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$109,784.00"
14631,"Accum Depn - TukTuk Refinery","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($109,783.92)"
14640,"Bruce Events - R18386","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"$203,619.00"
14641,"Accum Depn - Bruce Events","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,"($203,619.12)"
14670,"Landed cost adj - Plant Equipm","Fixed Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
20000,Liabilities,Liability,"Tax Exempt (0%)",,No,No,No,"$3,128,148.99"
21000,"Current Liabilities","Current Liability","Tax Exempt (0%)",,No,No,No,"$2,830,041.86"
21100,"Trade Creditors (A/P)","Current Liability","Tax Exempt (0%)",,No,No,No,"$1,855,234.21"
21200,"RAKBANK Credit Card","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21300,"A/P Accrual - Inventory","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21400,Accruals,"Current Liability","Tax Exempt (0%)",,No,No,No,"$293,016.10"
21401,"Bonus Accrual","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21402,"Accrued payables","Current Liability","Tax Exempt (0%)",,No,No,No,"$10,000.00"
21403,"Airfare Accrual","Current Liability","Tax Exempt (0%)",,No,No,No,"$50,399.00"
21404,"Leave Salary Accrual","Current Liability","Tax Exempt (0%)",,No,No,No,"$131,157.00"
21405,"Bystro @ Raw Mktg Accrual","Current Liability","Tax Exempt (0%)",,No,No,No,$924.10
21406,"Inventory Adjustment Accruals","Current Liability","Tax Exempt (0%)",,No,No,No,"$88,621.00"
21407,"Rebates Accruals","Current Liability","Tax Exempt (0%)",,No,No,No,"$21,915.00"
21410,"RAK Bank Credit Card - KIM","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21420,"RAK Bank Credit Card -  MATT","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21500,"Tax liability","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21510,"VAT Liability due to FTA","Current Liability","Tax Exempt (0%)",,No,No,No,"$113,039.42"
21520,"VAT Paid","Current Liability","Tax Exempt (0%)",,No,No,No,"($59,489.13)"
21521,"VAT Paid 5% Reverse","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21522,"VAT Paid 5% Reverse non recov","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21523,"VAT Paid 5% UAE on Purchases","Current Liability","Tax Exempt (0%)",,No,No,No,"($59,489.13)"
21524,"VAT Paid 5% UAE non recov","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21525,"VAT Paid 0% UAE","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21526,"VAT Paid Exempt","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21530,"VAT Collected","Current Liability","Tax Exempt (0%)",,No,No,No,"($31,075.52)"
21531,"VAT Collected 5% on Sales","Current Liability","Tax Exempt (0%)",,No,No,No,"($31,075.52)"
21532,"VAT Collected 0%","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21590,"Tax Inactive","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21591,"GST Collected","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21592,"GST Paid","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21593,"WET Payable","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21594,"Voluntary Withholdings Payable","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21595,"ABN Withholdings Payable","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21596,"Luxury Car Tax Payable","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21600,"Advance payments","Current Liability","Tax Exempt (0%)",,No,No,No,"($161,202.95)"
21610,"Customer Advance Payments","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21620,"Wages payable","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21630,"Other advances","Current Liability","Tax Exempt (0%)",,No,No,No,"($165,352.95)"
21640,"Gift cards","Current Liability","Tax Exempt (0%)",,No,No,No,"$4,150.00"
21700,"RAKBANK Financial Loan","Current Liability","Tax Exempt (0%)",,No,No,No,"$795,239.73"
21710,"RAKBANK - Financial Loan","Current Liability","Tax Exempt (0%)",,No,No,No,"$266,181.30"
21719,"Amortization - Financial Loan","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
21720,"RAK Financial Loan - 391932002","Current Liability","Tax Exempt (0%)",,No,No,No,"$79,823.77"
21721,"RAK Financial Loan - 391932003","Current Liability","Tax Exempt (0%)",,No,No,No,"$268,096.30"
21722,"RAK Financial Loan - 391932004","Current Liability","Tax Exempt (0%)",,No,No,No,"$164,255.45"
21723,"RAK Financial Loan - 391932005","Current Liability","Tax Exempt (0%)",,No,No,No,"$16,882.91"
21800,"Other Current Liability","Current Liability","Tax Exempt (0%)",,No,No,No,"$25,280.00"
22000,"Long term liabilities",Liability,"Tax Exempt (0%)",,No,No,No,"$298,107.13"
22100,"RAKBANK Car Loans","Non-current Liability","Tax Exempt (0%)",,No,No,No,"$12,178.73"
22110,"RAKBANK - Mini - K52517 (Kim)","Non-current Liability","Tax Exempt (0%)","""Rakbank Loan # 20172038 / Monthly 2","705 / Last Payment Aug 2017 / Last Payment Amount 561.67/User: Kim Thompson""",No,No,"$65,330.45"
22119,"Amortization - Mini K52517","Non-current Liability","Tax Exempt (0%)",,No,No,No,$0.00
22120,"RAKBANK - Mini - K50097 (Matt)","Non-current Liability","Tax Exempt (0%)","""Rakbank Loan # 20172035 / Monthly 2","705 / Last Payment Aug 2017 / Last Payment Amount 561.67/User: Matt Toogood""",No,No,"$65,330.45"
22129,"Amortization - Mini K50097","Non-current Liability","Tax Exempt (0%)",,No,No,No,$0.00
22130,"RAKBANK - VolkC P84172","Non-current Liability","Tax Exempt (0%)","""Rakbank Loan # 20266433 / Monthly 1","975 / Last Payment Aug 2017 / Last Payment Amount 1","975/User: Eleya (servicing)""",No,"$46,578.79"
22139,"Amortization - VolkC P84172","Non-current Liability","Tax Exempt (0%)",,No,No,No,$0.00
22140,"RAKBANK - VolkC P84174","Non-current Liability","Tax Exempt (0%)","""Rakbank Loan # 20266438 / Monthly 1","975 / Last Payment Aug 2017 / Last Payment Amount 1","975/User: Delivery""",No,"$38,531.73"
22149,"Amortization - VolkC P84174","Non-current Liability","Tax Exempt (0%)",,No,No,No,$0.00
22150,"RAKBANK - Volks G D92197","Non-current Liability","Tax Exempt (0%)","""Rakbank Loan # 20279934 / Monthly 1","283 / Last Payment Oct 2019 / (4 years) Last Payment Amount 1","283/User: Felix""",No,"$12,178.73"
22159,"Amortization - Volks G D92197","Non-current Liability","Tax Exempt (0%)",,No,No,No,$0.00
22160,"RAKBANK - Nissan U F90822","Non-current Liability","Tax Exempt (0%)",,No,No,No,"$10,703.21"
22169,"Amortization - Nissan U F90822","Non-current Liability","Tax Exempt (0%)",,No,No,No,$0.00
22200,"End of Service Gratuity Provis","Non-current Liability","Tax Exempt (0%)",,No,No,No,"$285,928.40"
22300,"Bad debt provision","Current Liability","Tax Exempt (0%)",,No,No,No,$0.00
29100,"Loan to owners","Current Liability","Tax Exempt (0%)",,No,No,No,"$892,917.94"
30000,Equity,Equity,"Tax Exempt (0%)",,No,No,No,"$6,401,828.72"
31000,Capital,Equity,"Tax Exempt (0%)",,No,No,No,"$300,000.00"
31100,"Shareholders Capital",Equity,"Tax Exempt (0%)","Initial Capital",No,No,No,"$300,000.00"
31200,"Capital Drawings",Equity,"Tax Exempt (0%)",,No,No,No,$0.00
32000,"Legal Reserve",Equity,"Tax Exempt (0%)",,No,No,No,"$150,000.00"
38000,"Retained Earnings",Equity,"Tax Exempt (0%)",,No,No,No,"$5,896,057.40"
39000,"Current Year Earnings",Equity,"Tax Exempt (0%)",,No,No,No,"$205,771.32"
39999,"Historical Balancing",Equity,"Tax Exempt (0%)",,No,No,No,$0.00
40000,Income,Sales,"N-T - Not Reportable (0%)",,No,No,No,"$8,860,419.53"
41100,"Green Coffee",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,$0.00
41200,"Whole Beans (41200)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$4,647,511.21"
41210,"Whole Bean 250g - Sales",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$97,662.41"
41211,"Coffee Bag Sales",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,$95.23
41220,"Whole Bean 500g - Sales",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$3,188,790.43"
41230,"Whole Bean 1kg - Sales",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$1,360,963.14"
41250,"Refinery - Coffee Bag Revenue",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,$0.00
42000,Restaurant,Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$597,562.47"
42001,"Events (42001)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,$0.00
42100,"Beverages (42100)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$483,740.66"
42105,"Brewed Coffee",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$38,493.93"
42110,"Espresso Beverages (hot) (42110)",Sales,"VS5 - VAT on Sales (5%) (5%)","Mother Account for Coffee Sales",No,No,No,"$357,170.07"
42120,"Espresso Beverages (iced) (42120)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$55,745.45"
42130,"Non Coffee Beverages (hot) (42130)",Sales,"VS5 - VAT on Sales (5%) (5%)","Sale from all Drinks not classified in coffee menu",No,No,No,"$6,933.09"
42140,"Non Coffee Beverages (iced) (42140)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,$0.00
42150,"Tea (42150)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$4,222.77"
42160,"Rocket Fuel Sales",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$21,175.35"
42200,"Ready to Eat (42200)",Sales,"VS5 - VAT on Sales (5%) (5%)","All income coming from Skinny Genie Products (for RAW) and Appetite (for Café)",No,No,No,"$1,285.30"
42300,"Ready to Drink (42300)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$1,694.80"
42400,"Restaurant Consumable",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,$0.00
42500,"Food - Direct",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,$0.00
42501,"Food - Bystro",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$110,841.71"
43000,"Equipment and Serveware (43000)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$2,416,774.68"
43100,"Commercial Equipment (43100)",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$1,402,706.99"
43110,"Other Commercial Equipment",Sales,"VS5 - VAT on Sales (5%) (5%)",,No,No,No,"$374,712.83"
43120,"Espresso Machines - Commercial",Sales,"VS5 - VAT on Sales (5%) (5%)","For Commercial Clients",No,No,No,"$1,027,994.16"
43130,"Grinder Sales",Sales,"VS5 - VAT on Sales (5%) (5%)","Sales of all Grinder Machines",No,No,No,$0.00
